Nutrient Data Bank Number,Category,Description,Категория,Ингредиенты,Описание,"Калории, ккал",Влага,Белки,Углеводы,Жиры,"Кальций, мг","Фосфор, мг","Магний, мг","Натрий, мг","Калий, мг","Железо, мг","Медь, мг","Цинк, мг","Марганец, мг","Витамин A, мкг","Витамин E, мг","Витамин Д, мкг","Витамин В1 (тиамин), мг","Витамин В2 (Рибофлавин), мг","Витамин В3 (Ниацин), мг","Витамин В6, мг","Витамин В12, мкг","Пантотеновая кислота, мг","Линолевая кислота, г","Фолиевая кислота, мкг","Альфа-линоленовая кислота, г","Арахидоновая кислота, г","ЭПК, г","ДГК, г","Холин, мг","Селен, мкг","Йод, мкг","Зола, г","Клетчатка, г","Холестерин, мг","Сахар общее, г",Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Lutein and Zeaxanthin,Lycopene,Refuse Percentage,Retinol,Fat.Monosaturated Fat,Fat.Polysaturated Fat,Fat.Saturated Fat,Household Weights.1st Household Weight,Household Weights.1st Household Weight Description,Household Weights.2nd Household Weight,Household Weights.2nd Household Weight Description,Vitamin A - IU,Vitamin C,Vitamin K
9316,STRAWBERRIES,"STRAWBERRIES,RAW",Овощи и фрукты,Ягоды,Клубника,32,90.95,0.67,7.68,0.3,16,24,13,1,153,0.41,0.048,0.14,0.386,1,0.29,0.0,0.024,0.022,0.386,0.047,0.0,0.125,0.09,0,0.065,0.0,0.0,0.0,6,0.4,0.75,0.4,2.0,0,4.889999866,0,7,0,26,0,6,0,0.043,0.155,0.015,152.0,"1 cup,  halves",232,"1 cup, pureed",12,58.8,2.2
9078,CRANBERRIES,"CRANBERRIES,RAW",Овощи и фрукты,Ягоды,Клюквы,46,87.13,0.39,12.2,0.13,8,13,6,2,85,0.25,0.061,0.1,0.36,3,1.2,0.0,0.012,0.02,0.101,0.057,0.0,0.295,0.033,0,0.022,0.0,0.0,0.0,6,0.1,0.0,0.15,4.599999905,0,4.039999962,0,36,0,91,0,2,0,0.018,0.055,0.011,110.0,"1 cup, chopped",100,"1 cup, whole",60,13.3,5.1
9050,BLUEBERRIES,"BLUEBERRIES,RAW",Овощи и фрукты,Ягоды,Черника,57,84.21,0.74,14.49,0.33,6,12,6,1,77,0.28,0.057,0.16,0.336,3,0.57,0.0,0.037,0.041,0.418,0.052,0.0,0.124,0.088,0,0.058,0.0,0.0,0.0,6,0.1,0.3,0.24,2.400000095,0,9.960000038,0,32,0,80,0,5,0,0.047,0.146,0.028,147.72,1 cup,68,50 berries,54,9.7,19.3
1118,YOGURT,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",Яйца и Молочные продукты,Йогурт,"Из Обезжиренного Молока, 13 Г Белка На 226 Г",56,85.23,5.73,7.68,0.18,199,157,19,77,255,0.09,0.015,0.97,0.005,2,0.0,0.0,0.048,0.234,0.124,0.053,0.61,0.641,0.004,0,0.001,0.0,0.0,0.0,15,3.6,13.5,1.18,0.0,2,7.679999828,0,0,0,0,0,0,2,0.049,0.005,0.116,245.0,"1 cup,  (8 fl oz)",227,"1 container,  (8 oz)",7,0.9,0.2
1117,YOGURT,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",Яйца и Молочные продукты,Йогурт,"Обезжиренный, 12 Г Белка На 226 Г",63,85.07,5.25,7.04,1.55,183,144,17,70,234,0.08,0.013,0.89,0.004,14,0.03,0.0,0.044,0.214,0.114,0.049,0.56,0.591,0.031,0,0.013,0.0,0.0,0.0,15,3.3,13.5,1.09,0.0,6,7.039999962,0,2,0,0,0,0,14,0.426,0.044,1.0,245.0,"1 cup,  (8 fl oz)",227,"1 container,  (8 oz)",51,0.8,0.2
1116,YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",Яйца и Молочные продукты,Йогурт,"Цельное Молоко, 8 Г Белка На 226 Г",61,87.9,3.47,4.66,3.25,121,95,12,46,155,0.05,0.009,0.59,0.004,27,0.06,0.1,0.029,0.142,0.075,0.032,0.37,0.389,0.065,0,0.027,0.0,0.0,0.0,15,2.2,14.45,0.72,0.0,13,4.659999847,0,5,0,0,0,0,27,0.893,0.092,2.096,245.0,"1 cup,  (8 fl oz)",227,"1 container,  (8 oz)",99,0.5,0.2
1112,WHEY,"WHEY,ACID,FLUID",Яйца и Молочные продукты,Сыворотка,"Кислотная, Жидкая",24,93.42,0.76,5.12,0.09,103,78,10,48,143,0.08,0.003,0.43,0.002,2,0.0,0.0,0.042,0.14,0.079,0.042,0.18,0.381,0.003,0,0.0,0.0,0.0,0.0,16,1.8,1.3,0.61,0.0,1,5.119999886,0,0,0,0,0,0,2,0.025,0.004,0.057,246.0,1 cup,984,1 quart,7,0.1,0.0
1113,WHEY,"WHEY,ACID,DRIED",Яйца и Молочные продукты,Сыворотка,"Кислотная, Сухая",339,3.51,11.73,73.45,0.54,2054,1349,199,968,2289,1.24,0.05,6.31,0.015,17,0.0,0.0,0.622,2.06,1.16,0.62,2.5,5.632,0.018,0,0.003,0.0,0.0,0.0,225,27.3,13.0,10.77,0.0,3,73.44999695,0,1,0,0,0,0,17,0.149,0.021,0.342,57.0,1 cup,3,1 tbsp,59,0.9,0.0
1114,WHEY,"WHEY,SWEET,FLUID",Яйца и Молочные продукты,Сыворотка,"Сладкая, Жидкая",27,93.12,0.85,5.14,0.36,47,46,8,54,161,0.06,0.004,0.13,0.001,3,0.0,0.0,0.036,0.158,0.074,0.031,0.28,0.383,0.008,0,0.003,0.0,0.0,0.0,16,1.9,1.3,0.53,0.0,2,5.139999866,0,1,0,0,0,0,3,0.1,0.011,0.23,246.0,1 cup,984,1 quart,12,0.1,0.0
1115,WHEY,"WHEY,SWEET,DRIED",Яйца и Молочные продукты,Сыворотка,"Сладкая, Сухая",353,3.19,12.93,74.46,1.07,796,932,176,1079,2080,0.88,0.07,1.97,0.009,8,0.02,0.0,0.519,2.208,1.258,0.584,2.37,5.62,0.025,0,0.009,0.0,0.0,0.0,225,27.2,13.0,8.35,0.0,6,74.45999908,0,2,0,0,0,0,8,0.297,0.034,0.684,145.0,1 cup,8,1 tbsp,30,1.5,0.1
1141,EGG,"EGG,TURKEY,WHL,FRSH,RAW",Яйца и Молочные продукты,Яйцо,Индюшиное,171,72.5,13.68,1.15,11.88,99,170,13,151,142,4.1,0.062,1.58,0.038,166,0.0,0.0,0.11,0.47,0.024,0.131,1.69,1.889,1.17,0,0.079,0.127,0.0,0.0,0,34.3,0.0,0.79,0.0,933,0.0,0,0,0,0,0,12,166,4.571,1.658,3.632,79.0,1 egg,0,,554,0.0,0.0
1123,EGG,"EGG,WHOLE,RAW,FRESH",Яйца и Молочные продукты,Яйцо,Куринное,143,75.84,12.58,0.77,9.94,53,191,12,140,134,1.83,0.102,1.11,0.038,140,0.97,2.0,0.069,0.478,0.07,0.143,1.29,1.438,1.56,0,0.048,0.188,0.0,0.058,251,31.7,32.0,0.86,0.0,423,0.769999981,0,10,9,331,0,12,139,3.81,1.364,3.099,243.0,"1 cup,  (4.86 large eggs)",56,1 extra large,487,0.0,0.3
1124,EGG,"EGG,WHITE,RAW,FRESH",Яйца и Молочные продукты,Яйцо,"Куринное, Белок",48,87.57,10.9,0.73,0.17,7,15,11,166,163,0.08,0.023,0.03,0.011,0,0.0,0.0,0.004,0.439,0.105,0.005,0.09,0.19,0.0,0,0.0,0.0,0.0,0.0,1,20.0,0.0,0.63,0.0,0,0.709999979,0,0,0,0,0,0,0,0.0,0.0,0.0,243.0,1 cup,33,1 large,0,0.0,0.0
1125,EGG,"EGG,YOLK,RAW,FRSH",Яйца и Молочные продукты,Яйцо,"Куринное, Желток",317,52.31,15.86,3.59,26.54,129,390,5,48,109,2.73,0.077,2.3,0.055,381,2.58,5.4,0.176,0.528,0.024,0.35,1.95,2.99,3.54,0,0.103,0.438,0.0,0.114,682,56.0,177.0,1.71,0.0,1234,0.560000002,38,88,33,1094,0,0,371,11.738,4.204,9.551,243.0,1 cup,17,1 large,1442,0.0,0.7
1140,EGG,"EGG,QUAIL,WHOLE,FRESH,RAW",Яйца и Молочные продукты,Яйцо,Перепелиное,158,74.35,13.05,0.41,11.09,64,226,13,141,132,3.65,0.062,1.47,0.038,156,1.08,1.4,0.13,0.79,0.15,0.15,1.58,1.761,0.94,0,0.044,0.122,0.0,0.0,263,32.0,50.8,1.1,0.0,844,0.409999996,0,11,10,369,0,8,155,4.324,1.324,3.557,9.0,1 egg,0,,543,0.0,0.3
