Nutrient Data Bank Number,Category,Description,Категория,Ингредиенты,Описание,"Калории, ккал",Влага,Белки,Углеводы,Жиры,"Кальций, мг","Фосфор, мг","Магний, мг","Натрий, мг","Калий, мг","Железо, мг","Медь, мг","Цинк, мг","Марганец, мг","Витамин A, мкг","Витамин E, мг","Витамин Д, мкг","Витамин В1 (тиамин), мг","Витамин В2 (Рибофлавин), мг","Витамин В3 (Ниацин), мг","Витамин В6, мг","Витамин В12, мкг","Пантотеновая кислота, мг","Линолевая кислота, г","Фолиевая кислота, мкг","Альфа-линоленовая кислота, г","Арахидоновая кислота, г","ЭПК, г","ДГК, г","Холин, мг","Селен, мкг","Йод, мкг","Зола, г","Клетчатка, г","Холестерин, мг","Сахар общее, г",Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Lutein and Zeaxanthin,Lycopene,Refuse Percentage,Retinol,Fat.Monosaturated Fat,Fat.Polysaturated Fat,Fat.Saturated Fat,Household Weights.1st Household Weight,Household Weights.1st Household Weight Description,Household Weights.2nd Household Weight,Household Weights.2nd Household Weight Description,Vitamin A - IU,Vitamin C,Vitamin K
4001,FAT,"FAT,BEEF TALLOW",Масло и жир,Животный Жир,Говяжий,902,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0,0.6,0.0,0.0,0.0,80,0.2,0.0,0.0,0.0,109,0.0,0,0,0,0,0,0,0,41.8,4.0,49.8,205.0,1 cup,13,1 tbsp,0,0.0,0.0
4576,FAT,"FAT,GOOSE",Масло и жир,Животный Жир,Гусиный,900,0.2,0.0,0.0,99.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0,0.5,0.0,0.0,0.0,0,0.2,0.0,0.0,0.0,100,0.0,0,0,0,0,0,0,0,56.7,11.0,27.7,205.0,1 cup,13,1 tbsp,0,0.0,0.0
5047,CHICKEN,"CHICKEN,BROILERS OR FRYERS,FAT,RAW",Масло и жир,Животный Жир,Куринный,629,28.91,3.73,0.0,67.95,7,54,6,32,64,0.7,0.029,0.45,0.014,130,2.73,3.3,0.021,0.059,2.041,0.02,0.07,0.19,13.3,0,0.7,0.04,0.0,0.0,16,9.7,0.0,0.28,0.0,58,0.0,0,55,0,0,0,0,125,30.3,14.2,20.25,12.8,1 tbsp,32,"1 unit,  (yield from 1 lb ready-to-cook chicken)",509,0.0,2.4
4053,OIL,"OIL,OLIVE,SALAD OR COOKING",Масло и жир,Растительное Масло,Оливковое,884,0.0,0.0,0.0,100.0,1,0,0,2,1,0.56,0.0,0.0,0.0,0,14.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76,0,0.761,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,72.961,10.523,13.808,13.5,1 tablespoon,216,1 cup,0,0.0,60.2
4506,OIL,"OIL,VEG,SUNFLOWER,LINOLEIC,(APPROX. 65%)",Масло и жир,Растительное Масло,"Подсолнечное, Линолевое (Около 65%)",884,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,41.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,19.5,65.7,10.3,13.6,1 tbsp,218,1 cup,0,0.0,5.4
4047,VEGETABLE OIL,"VEGETABLE OIL,COCONUT",Масло и жир,Растительное Масло,Кокосовое,862,0.0,0.0,0.0,100.0,0,0,0,0,0,0.04,0.0,0.0,0.0,0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0,0.019,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,5.8,1.8,86.5,13.6,1 tbsp,218,1 cup,0,0.0,0.5
4589,FISH OIL,"FISH OIL,COD LIVER",Масло и жир,Рыбий Жир,Печень Трески,902,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,0.0,0.0,30000,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935,0,0.935,0.935,6.9,11.0,0,0.0,8.387,0.0,0.0,570,0.0,0,0,0,0,0,0,30000,46.711,22.541,22.608,218.0,1 cup,14,1 tbsp,100000,0.0,0.0
13023,BEEF,"BEEF,BRISKET,WHL,LN,ALL GRDS,RAW",Мясо,Говядина,Грудинка,155,70.29,20.72,0.0,7.37,5,201,23,79,330,1.92,0.08,4.31,0.014,0,0.32,0.2,0.1,0.17,3.94,0.42,2.43,0.35,0.18,0,0.02,0.03,0.0,0.0,86,16.4,1.0,1.02,0.0,62,0.0,0,0,0,0,0,30,0,3.46,0.23,2.59,28.35,1 oz,454,1 lb,0,0.0,1.3
13328,BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",Мясо,Говядина,Лёгкие,92,79.38,16.2,0.0,2.5,10,224,14,198,340,7.95,0.26,1.61,0.019,14,0.0,0.0,0.047,0.23,4.0,0.04,3.81,1.0,0.17,0,0.02,0.14,0.0,0.0,0,44.3,0.0,0.98,0.0,242,0.0,0,0,0,0,0,24,14,0.64,0.34,0.86,28.35,1 oz,113,4 oz,46,38.5,0.0
13325,BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Мясо,Говядина,Печень,135,70.81,20.36,3.89,3.63,5,387,18,69,313,4.9,9.755,4.0,0.31,4968,0.38,1.2,0.189,2.755,13.175,1.083,59.3,7.173,0.299,0,0.016,0.141,0.0,0.0,333,39.7,4.3,1.31,0.0,275,0.0,11,232,13,0,0,0,4948,0.479,0.481,1.233,0.0,,0,,16898,1.3,3.1
13323,BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Мясо,Говядина,Почки,103,77.89,17.4,0.29,3.09,13,257,17,182,262,4.6,0.426,1.92,0.142,419,0.22,1.1,0.357,2.84,8.03,0.665,27.5,3.97,0.292,0,0.013,0.228,0.0,0.0,0,141.0,10.5,1.33,0.0,411,0.0,0,0,0,0,20,16,419,0.586,0.545,0.868,28.35,1 oz,113,4 oz,1397,9.4,0.0
13321,BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,HEART,RAW",Мясо,Говядина,Сердце,112,77.11,17.72,0.14,3.94,7,212,21,98,287,4.31,0.396,1.7,0.035,0,0.22,0.0,0.238,0.906,7.53,0.279,8.55,1.79,0.395,0,0.016,0.128,0.0,0.0,0,21.8,1.9,1.1,0.0,124,0.0,0,0,0,0,17,29,0,1.137,0.546,1.383,28.35,1 oz,113,4 oz,0,2.0,0.0
13339,BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Мясо,Говядина,Язык,224,64.53,14.9,3.68,16.09,6,133,16,69,315,2.95,0.17,2.87,0.026,0,0.0,0.0,0.125,0.34,4.24,0.31,3.79,0.653,0.58,0,0.0,0.31,0.0,0.0,0,9.4,2.3,0.8,0.0,87,0.0,0,0,0,0,0,16,0,7.24,0.9,7.0,28.35,1 oz,113,4 oz,0,3.1,0.0
5148,GOOSE,"GOOSE,DOMESTICATED,MEAT ONLY,RAW",Мясо,Гусятина,Мясо,161,68.3,22.75,0.0,7.13,13,312,24,87,420,2.57,0.306,2.34,0.024,12,0.0,0.0,0.129,0.377,4.278,0.64,0.49,1.973,0.8,0,0.1,0.0,0.0,0.0,0,16.8,0.0,1.1,0.0,84,0.0,0,0,0,0,0,53,12,1.85,0.9,2.79,185.0,"1 unit,  (yield from 1 lb ready-to-cook goose)",766,.5 goose,40,7.2,0.0
5150,GOOSE,"GOOSE,LIVER,RAW",Мясо,Гусятина,Печень,133,71.78,16.37,6.32,4.28,43,261,24,140,230,30.53,7.522,3.07,0.0,9309,0.0,0.0,0.562,0.892,6.5,0.76,54.0,6.184,0.18,0,0.01,0.07,0.0,0.0,0,68.1,0.0,1.25,0.0,515,0.0,0,0,0,0,0,0,9309,0.81,0.26,1.59,94.0,1 liver,11,"1 unit,  (yield from 1 lb ready-to-cook goose)",30998,4.5,0.0
5185,TURKEY,"TURKEY,ALL CLASSES,LT MEAT,RAW",Мясо,Индейка,Белое Мясо,115,73.82,23.56,0.0,1.56,12,204,27,63,305,1.19,0.075,1.62,0.019,0,0.0,0.1,0.064,0.122,5.844,0.56,0.45,0.688,0.2,0,0.009,0.028,0.0,0.002,0,24.4,0.0,1.0,0.0,60,0.0,0,0,0,0,0,29,0,0.27,0.42,0.5,150.0,"1 unit,  (yield from 1 lb ready-to-cook turkey)",1156,".5 turkey, bone and skin removed",0,0.0,0.0
5173,TURKEY,"TURKEY,GIZZARD,ALL CLASSES,RAW",Мясо,Индейка,Желудки,118,76.18,19.14,0.0,4.58,6,140,16,72,322,4.31,0.114,2.86,0.048,0,0.05,0.5,0.04,0.179,4.78,0.12,6.86,0.914,0.53,0,0.023,0.096,0.0,0.007,90,29.2,0.0,1.0,0.0,197,0.0,0,0,0,0,0,0,0,1.588,0.777,1.312,98.67,1 gizzard,0,,0,6.2,0.0
5167,TURKEY,"TURKEY,ALL CLASSES,MEAT ONLY,RAW",Мясо,Индейка,Мясо,119,74.16,21.77,0.0,2.86,14,195,25,70,296,1.45,0.109,2.37,0.021,0,0.35,0.2,0.072,0.168,4.544,0.47,0.43,0.907,0.339,0,0.017,0.031,0.0,0.002,70,26.5,0.0,0.97,0.0,65,0.0,0,0,0,0,0,33,0,0.61,0.83,0.95,281.0,"1 unit,  (yield from 1 lb ready-to-cook turkey)",2174,".5 turkey, bone and skin removed",0,0.0,2.7
5177,TURKEY,"TURKEY,LIVER,ALL CLASSES,RAW",Мясо,Индейка,Печень,228,62.29,17.84,2.26,16.36,5,279,15,71,255,12.0,0.407,2.26,0.195,21702,0.12,1.3,0.153,2.59,13.5,1.47,49.4,6.28,1.13,0,0.039,0.378,0.009,0.045,222,70.8,0.0,1.25,0.0,331,0.0,0,29,0,0,0,0,21700,7.397,1.65,5.507,100.47,1 liver,0,,72382,24.5,0.8
